infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
accroupir,accroupissant,accroupissant,accroupi,être,accroupis,accroupis,accroupit,accroupissons,accroupissez,accroupissent,accroupissais,accroupissais,accroupissait,accroupissions,accroupissiez,accroupissaient,accroupis,accroupis,accroupit,accroupîmes,accroupîtes,accroupirent,accroupirai,accroupiras,accroupira,accroupirons,accroupirez,accroupiront,accroupirais,accroupirais,accroupirait,accroupirions,accroupiriez,accroupiraient,accroupisse,accroupisses,accroupisse,accroupissions,accroupissiez,accroupissent,accroupisse,accroupisses,accroupît,accroupissions,accroupissiez,accroupissent,,accroupis,,accroupissons,accroupissez,
abstraire,abstrayant,abstrayant,abstrait,avoir;être,abstrais,abstrais,abstrait,abstrayons,abstrayez,abstraient,abstrayais,abstrayais,abstrayait,abstrayions,abstrayiez,abstrayaient,abstrayai,abstrayas,abstraya,abstrayâmes,abstrayâtes,abstrayèrent,abstrairai,abstrairas,abstraira,abstrairons,abstrairez,abstrairont,abstrairais,abstrairais,abstrairait,abstrairions,abstrairiez,abstrairaient,abstraie,abstraies,abstraie,abstrayions,abstrayiez,abstraient,abstrayasse,abstrayasses,abstrayât,abstrayassions,abstrayassiez,abstrayassent,,abstraie,,abstrayons,abstrayez,
achalander,achalandant,achalandant,achalandé,avoir,achalande,achalandes,achalande,achalandons,achalandez,achalandent,achalandais,achalandais,achalandait,achalandions,achalandiez,achalandaient,achalandai,achalandas,achalanda,achalandâmes,achalandâtes,achalandèrent,achalanderai,achalanderas,achalandera,achalanderons,achalanderez,achalanderont,achalanderais,achalanderais,achalanderait,achalanderions,achalanderiez,achalanderaient,achalande,achalandes,achalande,achalandions,achalandiez,achalandent,achalandasse,achalandasses,achalandât,achalandassions,achalandassiez,achalandassent,,achalande,,achalandons,achalandez,
agenouiller,agenouillant,agenouillant,agenouillé,avoir,agenouille,agenouilles,agenouille,agenouillons,agenouillez,agenouillent,agenouillais,agenouillais,agenouillait,agenouillions,agenouilliez,agenouillaient,agenouillai,agenouillas,agenouilla,agenouillâmes,agenouillâtes,agenouillèrent,agenouillerai,agenouilleras,agenouillera,agenouillerons,agenouillerez,agenouilleront,agenouillerais,agenouillerais,agenouillerait,agenouillerions,agenouilleriez,agenouilleraient,agenouille,agenouilles,agenouille,agenouillions,agenouilliez,agenouillent,agenouillasse,agenouillasses,agenouillât,agenouillassions,agenouillassiez,agenouillassent,,agenouille,,agenouillons,agenouillez,
abréger,abrégeant,abrégeant,abrégé,avoir;être,abrège,abrèges,abrège,abrégeons,abrégez,abrègent,abrégeais,abrégeais,abrégeait,abrégions,abrégiez,abrégeaient,abrégeai,abrégeas,abrégea,abrégeâmes,abrégeâtes,abrégèrent,abrègerai;abrégerai,abrègeras;abrégeras,abrègera;abrégera,abrègerons;abrégerons,abrègerez;abrégerez,abrègeront;abrégeront,abrègerais;abrégerais,abrègerais;abrégerais,abrègerait;abrégerait,abrègerions;abrégerions,abrègeriez;abrégeriez,abrègeraient;abrégeraient,abrège,abrèges,abrège,abrégions,abrégiez,abrègent,abrégeasse,abrégeasses,abrégeât,abrégeassions,abrégeassiez,abrégeassent,,abrège,,abrégeons,abrégez,
acheter,achetant,achetant,acheté,avoir,achète,achètes,achète,achetons,achetez,achètent,achetais,achetais,achetait,achetions,achetiez,achetaient,achetai,achetas,acheta,achetâmes,achetâtes,achetèrent,achèterai,achèteras,achètera,achèterons,achèterez,achèteront,achèterais,achèterais,achèterait,achèterions,achèteriez,achèteraient,achète,achètes,achète,achetions,achetiez,achètent,achetasse,achetasses,achetât,achetassions,achetassiez,achetassent,,achète,,achetons,achetez,
aigrir,aigrissant,aigrissant,aigri,avoir,aigris,aigris,aigrit,aigrissons,aigrissez,aigrissent,aigrissais,aigrissais,aigrissait,aigrissions,aigrissiez,aigrissaient,aigris,aigris,aigrit,aigrîmes,aigrîtes,aigrirent,aigrirai,aigriras,aigrira,aigrirons,aigrirez,aigriront,aigrirais,aigrirais,aigrirait,aigririons,aigririez,aigriraient,aigrisse,aigrisses,aigrisse,aigrissions,aigrissiez,aigrissent,aigrisse,aigrisses,aigrît,aigrissions,aigrissiez,aigrissent,,aigris,,aigrissons,aigrissez,
accroître,accroissant,accroissant,accrû,avoir,accroîs,accroîs,accroît,accroissons,accroissez,accroissent,accroissais,accroissais,accroissait,accroissions,accroissiez,accroissaient,accrûs,accrûs,accrût,accrûmes,accrûtes,accrurent,accroîtrai,accroîtras,accroîtra,accroîtrons,accroîtrez,accroîtront,accroîtrais,accroîtrais,accroîtrait,accroîtrions,accroîtriez,accroîtraient,accroisse,accroisses,accroisse,accroissions,accroissiez,accroissent,accrûsse,accrûsses,accrût,accrussions,accrussiez,accrussent,,accroîs,,accroissons,accroissez,
aider,aidant,aidant,aidé,avoir;être,aide,aides,aide,aidons,aidez,aident,aidais,aidais,aidait,aidions,aidiez,aidaient,aidai,aidas,aida,aidâmes,aidâtes,aidèrent,aiderai,aideras,aidera,aiderons,aiderez,aideront,aiderais,aiderais,aiderait,aiderions,aideriez,aideraient,aide,aides,aide,aidions,aidiez,aident,aidasse,aidasses,aidât,aidassions,aidassiez,aidassent,,aide,,aidons,aidez,
absconser,absconsant,absconsant,absconsé,avoir,absconse,absconses,absconse,absconsons,absconsez,absconsent,absconsais,absconsais,absconsait,absconsions,absconsiez,absconsaient,absconsai,absconsas,absconsa,absconsâmes,absconsâtes,absconsèrent,absconserai,absconseras,absconsera,absconserons,absconserez,absconseront,absconserais,absconserais,absconserait,absconserions,absconseriez,absconseraient,absconse,absconses,absconse,absconsions,absconsiez,absconsent,absconsasse,absconsasses,absconsât,absconsassions,absconsassiez,absconsassent,,absconse,,absconsons,absconsez,
